,sample_id,source,title,journal,author,longitude,latitude,method,material,type,composition,rock_name,sio2,tio2,al2o3,cr2o3,fe2o3,fe2o3t,feo,feot,nio,mno,mgo,cao,na2o,k2o,p2o5,loi,h2o,h2o_m,h2o_p,s,co2,f,cl,ag,as,au,b,ba,be,bi,cd,co,cr,cs,cu,ga,hf,hg,i,ir,k,li,mn,mo,nb,ni,os,pb,pd,pt,rb,re,sb,sc,se,sn,sr,ta,te,th,ti,tl,u,v,w,y,zn,zr,la,ce,pr,nd,sm,eu,gd,tb,dy,ho,er,tm,yb,lu,sr87_sr86,nd143_nd144,pb206_pb204,pb207_pb204,pb208_pb204,hf176_hf177,lu176_hf177,os187_os188,be10_be,he3_he4,rb87_sr86,sm147_nd144,u238_pb206,u235_pb207,th232_pb208
30,ML-1-10,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.78,EMP (EPMA),igneous,volcanic,,tholeiite,52.38,2.83,13.58,,,,,11.05,,,6.01,9.86,2.49,0.54,0.33,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ML-1-10,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.78,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.35,,,0.067,0.067,0.008,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ML-1-11,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.78,EMP (EPMA),igneous,volcanic,,tholeiite,52.46,2.2,14.21,,,,,9.91,,,6.39,11.5,2.28,0.34,0.25,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ML-1-11,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.78,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.386,,,0.042,0.051,0.004,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ML-1-12,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.78,EMP (EPMA),igneous,volcanic,,tholeiite,52.43,2.15,14.09,,,,,10,,,6.7,11.12,2.32,0.35,0.23,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ML-1-12,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.78,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.461,,,0.062,0.069,0.004,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ML-2-1,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.71,18.83,EMP (EPMA),igneous,volcanic,,tholeiite,52.24,2.62,13.84,,,,,11.04,,,6.32,10.76,2.46,0.49,0.3,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ML-2-1,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.71,18.83,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.24,,,0.066,0.109,0.008,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ML-2-1,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.71,18.83,EMP (EPMA),igneous,volcanic,,tholeiite,51.39,2.54,13.76,,,,,11.26,,,6.36,10.88,2.37,0.48,0.28,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ML-2-1,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.71,18.83,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.03,,,0.021,0.008,0.002,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
